country,description,year_1960,year_1970,year_1980,year_1990,year_2000,year_2010,year_2020
World,GDP,1384630000000,2987370000000,11298300000000,22762100000000,33651300000000,66162700000000,84705400000000
Afghanistan,GDP,537777811,1748886596,3641723322,NA,NA,15856574731,19807067268
Albania,GDP,NA,NA,NA,2028553750,3480355189,11926928506,14799615097
Algeria,GDP,2723593385,4863487493,42346380831,62048562947,54790379459,161207000000,145164000000
American Samoa,GDP,NA,NA,NA,NA,NA,573000000,NA
Andorra,GDP,NA,78619206,446416106,1029048482,1429049198,3449966857,NA
Angola,GDP,NA,NA,5934073604,11236275843,9129634978,83799496611,62306913444
Antigua and Barbuda,GDP,NA,NA,131431027,459470370,826370370,1148700000,1415059259
Argentina,GDP,NA,31584210366,76961923742,141352000000,284204000000,423627000000,383067000000
Armenia,GDP,NA,NA,NA,2256838858,1911563669,9260284938,12645459214
Aruba,GDP,NA,NA,NA,764887117,1873452514,2390502793,NA
Australia,GDP,18577668272,41271138985,149776000000,310781000000,415223000000,1146140000000,1330900000000
Austria,GDP,6592693841,15373005557,82058912997,166463000000,196800000000,391893000000,428965000000
Azerbaijan,GDP,NA,NA,NA,NA,5272798391,52909294792,42607176471
Bahamas,GDP,169803922,538423154,1335300000,3166000000,8076470000,10095760000,11250000000
Bahrain,GDP,NA,NA,3072698328,4229787234,9062898936,25713271277,NA
Bangladesh,GDP,4274893913,8992721809,18138049096,31598341234,53369787319,115279000000,324239000000
Barbados,GDP,NA,NA,1012280615,2012131457,3059500000,4530000000,4365500000
Belarus,GDP,NA,NA,NA,21650000000,12738912134,57222490769,60258239056
Belgium,GDP,11658722591,26706196047,126829000000,205332000000,236205000000,480952000000,515332000000
Belize,GDP,28071889,53233533,197938222,412086446,832072465,1377177083,1763696119
Benin,GDP,226195579,333627758,1405251547,1959965244,3519991440,9535345011,15651545209
Bermuda,GDP,84466654,186300000,613299968,1592400000,3480219000,6634526000,NA
Bhutan,GDP,NA,NA,128717411,287658184,424464090,1547991318,2409262838
Bolivia,GDP,373879364,1017003367,4526916803,4867582620,8397912509,19649631308,36688861203
Bosnia and Herzegovina,GDP,NA,NA,NA,NA,5505887894,17176781337,19788422248
Botswana,GDP,30412309,96245114,1060923829,3790567052,5788329609,12786654498,15781732826
Brazil,GDP,15165569913,42327600098,235025000000,461952000000,655421000000,2208870000000,1444730000000
British Virgin Islands,GDP,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,GDP,NA,179080099,4928824958,3520551724,6001153306,13707370737,12016056665
Bulgaria,GDP,NA,NA,19839230769,20632090909,13245833844,50381825504,69105101090
Burkina Faso,GDP,330442817,458404330,1928719477,3101300642,2968369991,10109618964,17369059295
Burundi,GDP,195999990,242732571,919726667,1132101253,870486066,2032135191,3258187233
Cabo Verde,GDP,NA,NA,142246876,306891107,539227278,1664310770,1703698677
Cambodia,GDP,637142866,718401158,NA,NA,3654031716,11242275199,25291251427
Cameroon,GDP,614206071,1151217147,6674567625,12314482085,10109045071,26169323293,39802147568
Canada,GDP,40461721693,87896095320,273854000000,593930000000,744773000000,1617340000000,1643410000000
Cayman Islands,GDP,NA,NA,NA,NA,NA,4156990760,NA
Central African Republic,GDP,112155599,189106555,797048029,1440711396,914500299,2142591539,2303078338
Chad,GDP,313582729,469266737,1033002402,1738605558,1388506727,10668102735,10093118570
Channel Islands,GDP,NA,NA,NA,NA,6439703435,NA,NA
Chile,GDP,4110000000,9126309735,29036709872,33113887818,77860932152,218538000000,252940000000
China,GDP,59716467625,92602973434,191149000000,360858000000,1211350000000,6087160000000,14722700000000
Colombia,GDP,4031152977,7198360460,33400735644,47844090710,99886577331,286563000000,271347000000
Comoros,GDP,NA,NA,212218226,429622148,351136568,907978732,1219690025
Congo, Dem. Rep.,GDP,3359404118,4877684910,14394927495,9349764580,19088046306,21565720044,49868970641
Congo, Rep.,GDP,131731863,274960700,1705796850,2798746051,3227927593,13135580695,10884686143
Costa Rica,GDP,507513830,984830159,4831447001,5711687787,15013629665,37658614803,61520669890
Cote d'Ivoire,GDP,546203562,1455482990,10175615442,10795850107,10743706069,24908781285,61348579465
Croatia,GDP,NA,NA,NA,NA,21633759451,59918313669,55966581780
Cuba,GDP,NA,5693005200,19912889861,28645436569,30565400000,64328000000,NA
Curacao,GDP,NA,NA,NA,NA,NA,NA,NA
Cyprus,GDP,NA,NA,2154311277,5591130218,9985844486,25732432719,23804340377
Czech Republic,GDP,NA,NA,NA,40728950705,61828166496,209070000000,243530000000
Denmark,GDP,NA,17075457600,71127528700,138247000000,164159000000,321995000000,355184000000
Djibouti,GDP,NA,NA,NA,452328087,551230862,1128611700,3384404260
Dominica,GDP,NA,NA,72804653,201429630,333470370,493825926,469870370
Dominican Republic,GDP,672399700,1485500000,6761300000,7073675545,24305717542,53860175556,78844702329
